zipcode,zip_population,income,uni_edu_per,w_per,b_per,a_per,h_per
11411,18556,93259.39024,0.266934199,0.032560358,1.029927571,0.004752641,0.071844147
11412,34882,79523.49756,0.175553409,0.017524196,0.953756809,0.024860329,0.054725904
11413,38912,89735.21643,0.199081286,0.02386729,0.980665939,0.012497147,0.049775236
11414,26148,78789.88508,0.20273061,0.771684259,0.017936362,0.049869971,0.230916322
11415,19341,73742.40479,0.349301742,0.589607156,0.052515744,0.189271961,0.250655188
11416,24861,66116.76293,0.150472467,0.296786453,0.067270303,0.359955995,0.479730944
11417,28967,75130.23972,0.184785998,0.396356854,0.085045983,0.313809404,0.426054717
11418,36256,67005.18832,0.187255902,0.43330988,0.078426743,0.252459289,0.485337848
11420,44354,73456.45104,0.138886549,0.157803422,0.244421585,0.323085381,0.241605853
11421,39127,72710.23526,0.173716487,0.461684387,0.049322795,0.207098091,0.614247681
11422,30425,92856.34623,0.189055842,0.050336335,0.872885522,0.018268102,0.096266787
11423,29987,75645.89928,0.202923467,0.131167939,0.373897422,0.257435655,0.131103945
11426,17590,92849.64003,0.306396987,0.448698124,0.073632348,0.513448209,0.219721319
11427,23593,82130.99635,0.237452549,0.302687874,0.215548934,0.315597126,0.201172043
11428,19168,75130.24924,0.138740244,0.225656876,0.215159798,0.253555092,0.253190735
11429,25105,86153.95714,0.176207011,0.03675949,0.765324159,0.040956941,0.12333567
11430,184,61429,0.106521739,0.141711957,0.248233696,0.249184783,0.189266304
11432,60809,61078.34231,0.229591228,0.183767321,0.159719959,0.427942163,0.242623066
11433,32687,61027.90126,0.10924239,0.042565638,0.635409643,0.077265212,0.189675314
11434,59129,70289.73515,0.163870909,0.02746588,0.963068427,0.027792014,0.082539059
11435,53687,64978.84441,0.218880846,0.18691294,0.265214875,0.264366998,0.343063572
11436,17949,75197.92254,0.150775252,0.058364923,0.685406708,0.118615076,0.15644749
11691,60035,57813.74023,0.161527226,0.395437428,0.480671708,0.038189556,0.263717398
11692,18540,52040.17828,0.16094164,0.24969466,0.693184951,0.060872168,0.280898652
11693,11916,65683.81511,0.211858006,0.705912135,0.220686808,0.049301192,0.339256882
11694,20408,92057.08292,0.340178116,0.84329312,0.0714191,0.036223393,0.141134849
11697,4079,101128.9093,0.311350821,0.828144153,0.005148321,0.004903163,0.056141211
12563,8084,101619.531,0.221985651,0.886925656,0.056919471,0.015815314,0.218967219
