ID,Date,Cases_New
10128,2020-05-04,29
11221,2020-05-04,60
11222,2020-05-04,18
11365,2020-05-04,19
11364,2020-05-04,19
10075,2020-05-04,6
11379,2020-05-04,36
11214,2020-05-04,70
10301,2020-05-04,55
10469,2020-05-04,169
11224,2020-05-04,73
10463,2020-05-04,212
10456,2020-05-04,100
10306,2020-05-04,52
11377,2020-05-04,102
11354,2020-05-04,49
11226,2020-05-04,112
10470,2020-05-04,21
11215,2020-05-04,22
10305,2020-05-04,42
10040,2020-05-04,134
11355,2020-05-04,59
11219,2020-05-04,178
11368,2020-05-04,280
10033,2020-05-04,56
10457,2020-05-04,91
10304,2020-05-04,50
10003,2020-05-04,12
11358,2020-05-04,14
10462,2020-05-04,92
10458,2020-05-04,91
10467,2020-05-04,109
11357,2020-05-04,46
11411,2020-05-04,22
11369,2020-05-04,66
10029,2020-05-04,77
10044,2020-05-04,14
10303,2020-05-04,31
11225,2020-05-04,52
11356,2020-05-04,23
11412,2020-05-04,31
11212,2020-05-04,99
11367,2020-05-04,39
11416,2020-05-04,35
10302,2020-05-04,30
11436,2020-05-04,19
10013,2020-05-04,14
11203,2020-05-04,106
10006,2020-05-04,2
11433,2020-05-04,25
11207,2020-05-04,124
11205,2020-05-04,42
11434,2020-05-04,132
10018,2020-05-04,3
11417,2020-05-04,39
10022,2020-05-04,13
10014,2020-05-04,6
10024,2020-05-04,20
11101,2020-05-04,22
11427,2020-05-04,28
11429,2020-05-04,34
11428,2020-05-04,19
11103,2020-05-04,26
10010,2020-05-04,5
10473,2020-05-04,71
11209,2020-05-04,60
10474,2020-05-04,15
11691,2020-05-04,106
11422,2020-05-04,36
10475,2020-05-04,59
10019,2020-05-04,20
10001,2020-05-04,8
11105,2020-05-04,21
11208,2020-05-04,141
11204,2020-05-04,99
11201,2020-05-04,65
10007,2020-05-04,0
10011,2020-05-04,9
11004,2020-05-04,19
11104,2020-05-04,31
10017,2020-05-04,5
10021,2020-05-04,18
11432,2020-05-04,91
10004,2020-05-04,0
10472,2020-05-04,85
11426,2020-05-04,23
11102,2020-05-04,24
11435,2020-05-04,84
10005,2020-05-04,0
11421,2020-05-04,63
11692,2020-05-04,17
11418,2020-05-04,50
11206,2020-05-04,80
11109,2020-05-04,1
10016,2020-05-04,15
11419,2020-05-04,54
10012,2020-05-04,4
10023,2020-05-04,16
11423,2020-05-04,99
11420,2020-05-04,54
10009,2020-05-04,18
11106,2020-05-04,30
11693,2020-05-04,6
10458,2020-05-11,78
10467,2020-05-11,118
11225,2020-05-11,33
10001,2020-05-11,15
11379,2020-05-11,27
11357,2020-05-11,25
11203,2020-05-11,64
11214,2020-05-11,67
10021,2020-05-11,14
11420,2020-05-11,43
10303,2020-05-11,23
11433,2020-05-11,37
11378,2020-05-11,29
10302,2020-05-11,15
10011,2020-05-11,16
10474,2020-05-11,13
11416,2020-05-11,31
11356,2020-05-11,24
11201,2020-05-11,33
10306,2020-05-11,28
11411,2020-05-11,17
10009,2020-05-11,27
10469,2020-05-11,64
11239,2020-05-11,20
10456,2020-05-11,92
11435,2020-05-11,51
10307,2020-05-11,4
10455,2020-05-11,46
10029,2020-05-11,67
10473,2020-05-11,41
11238,2020-05-11,35
11104,2020-05-11,17
11228,2020-05-11,25
11208,2020-05-11,114
10030,2020-05-11,30
11226,2020-05-11,106
10468,2020-05-11,290
10304,2020-05-11,26
10031,2020-05-11,63
10457,2020-05-11,61
10010,2020-05-11,9
11358,2020-05-11,19
11354,2020-05-11,114
11103,2020-05-11,32
10022,2020-05-11,16
11385,2020-05-11,71
11355,2020-05-11,56
11434,2020-05-11,82
10305,2020-05-11,38
11213,2020-05-11,39
11419,2020-05-11,41
11224,2020-05-11,53
11361,2020-05-11,18
10301,2020-05-11,22
10462,2020-05-11,71
11372,2020-05-11,83
11427,2020-05-11,24
10065,2020-05-11,13
11697,2020-05-11,9
11220,2020-05-11,50
10037,2020-05-11,89
11366,2020-05-11,8
11205,2020-05-11,27
10014,2020-05-11,9
10069,2020-05-11,3
11217,2020-05-11,55
10018,2020-05-11,4
11373,2020-05-11,120
11365,2020-05-11,34
11367,2020-05-11,35
10004,2020-05-11,1
10464,2020-05-11,2
10016,2020-05-11,17
11369,2020-05-11,64
10039,2020-05-11,27
10017,2020-05-11,2
10463,2020-05-11,138
11004,2020-05-11,12
11426,2020-05-11,9
10040,2020-05-11,59
10461,2020-05-11,59
11370,2020-05-11,46
11218,2020-05-11,78
11206,2020-05-11,99
11368,2020-05-11,194
10003,2020-05-11,17
10038,2020-05-11,7
11423,2020-05-11,23
10044,2020-05-11,30
11219,2020-05-11,227
10033,2020-05-11,62
11101,2020-05-11,28
10036,2020-05-11,13
11207,2020-05-11,85
10466,2020-05-11,68
11223,2020-05-11,67
10002,2020-05-11,48
10034,2020-05-11,44
